date,bitcoin_price,bitcoin_vol.
06-07-2023,"29,913.10",90810.0
05-07-2023,"30,512.80",43230.0
03-07-2023,"31,151.30",56490.0
30-06-2023,"30,472.90",118650.0
29-06-2023,"30,445.70",49570.0
28-06-2023,"30,078.60",51060.0
27-06-2023,"30,689.10",55820.0
26-06-2023,"30,267.00",58710.0
23-06-2023,"30,679.40",98850.0
22-06-2023,"29,890.50",79220.0
21-06-2023,"29,996.90",143490.0
20-06-2023,"28,307.70",100550.0
16-06-2023,"26,341.30",69240.0
15-06-2023,"25,591.30",68380.0
14-06-2023,"25,129.50",60820.0
13-06-2023,"25,929.40",56240.0
12-06-2023,"25,906.80",40750.0
09-06-2023,"26,479.30",38960.0
08-06-2023,"26,501.10",39950.0
07-06-2023,"26,342.50",77480.0
06-06-2023,"27,230.20",88610.0
05-06-2023,"25,747.40",85420.0
02-06-2023,"27,244.70",49370.0
01-06-2023,"26,819.00",51980.0
31-05-2023,"27,216.10",63080.0
30-05-2023,"27,698.20",45190.0
26-05-2023,"26,711.50",45880.0
25-05-2023,"26,475.80",50170.0
24-05-2023,"26,328.40",72650.0
23-05-2023,"27,220.70",50890.0
22-05-2023,"26,847.30",35560.0
19-05-2023,"26,882.90",36670.0
18-05-2023,"26,828.00",63390.0
17-05-2023,"27,403.10",58140.0
16-05-2023,"27,035.30",45290.0
15-05-2023,"27,183.90",53270.0
12-05-2023,"26,799.20",87490.0
11-05-2023,"26,983.50",62850.0
10-05-2023,"27,603.30",91450.0
09-05-2023,"27,634.90",49750.0
08-05-2023,"27,670.50",85720.0
05-05-2023,"29,513.20",74520.0
04-05-2023,"28,842.10",53800.0
03-05-2023,"29,023.60",81220.0
02-05-2023,"28,669.10",65330.0
01-05-2023,"28,077.60",84360.0
28-04-2023,"29,321.80",69880.0
27-04-2023,"29,475.90",121630.0
26-04-2023,"28,424.60",164310.0
25-04-2023,"28,298.80",65310.0
24-04-2023,"27,509.30",66740.0
21-04-2023,"27,264.80",98720.0
20-04-2023,"28,240.50",95450.0
19-04-2023,"28,813.70",111270.0
